peris, apos, t_min_relative, r_relative, theta 
14.708536 109.127602 -0.047000 48.115122 77.836084 
41.928342 102.547782 -0.047000 48.122057 41.163938 
32.396386 97.320992 -0.047000 48.122206 56.703309 
25.471596 98.411134 -0.048000 48.104476 60.106945 
38.442922 98.784513 -0.047000 48.118045 50.331058 
19.868478 104.601429 -0.048000 48.104341 61.158405 
41.884971 97.016776 -0.048000 48.102483 27.306036 
22.764842 107.702572 -0.047000 48.117335 25.722456 
27.960275 98.222960 -0.048000 48.105801 42.241918 
15.788265 89.452868 -0.047000 48.121334 54.804929 
28.638521 108.572382 -0.047000 48.120282 37.966002 
31.518661 95.223540 -0.048000 48.105317 39.907273 
14.566262 100.569522 -0.048000 48.103575 74.598351 
22.389097 95.117903 -0.048000 48.103591 56.861673 
20.980401 102.159655 -0.047000 48.112470 82.500947 
24.143197 102.043135 -0.048000 48.100607 43.716211 
21.083543 98.610629 -0.048000 48.107413 62.866581 
31.338080 101.330175 -0.048000 48.109754 66.779158 
21.425292 101.482030 -0.047000 48.116127 59.023907 
21.340666 98.355983 -0.048000 48.106321 40.998645 
14.084039 104.278276 -0.047000 48.112317 41.257982 
28.967698 99.645252 -0.047000 48.116471 40.096726 
23.187098 100.621557 -0.048000 48.108398 25.552966 
15.004861 90.230643 -0.047000 48.115500 78.540319 
14.930670 98.464636 -0.047000 48.119569 14.473300 
24.928331 110.000960 -0.047000 48.113142 10.843750 
19.523210 110.716468 -0.047000 48.117353 69.063995 
29.057976 105.602043 -0.048000 48.104290 44.058115 
12.766381 106.336652 -0.048000 48.111104 94.697805 
30.628445 98.305633 -0.048000 48.104121 43.147783 
25.375493 102.827482 -0.047000 48.112302 41.380123 
31.148393 88.707332 -0.048000 48.101063 73.316061 
23.470462 96.060250 -0.048000 48.109342 37.969767 
29.224088 93.452069 -0.048000 48.104862 70.958372 
17.109265 110.588010 -0.047000 48.117007 25.786229 
23.139415 101.057653 -0.048000 48.110662 78.696081 
19.953920 107.243891 -0.047000 48.114074 61.512451 
28.430813 101.661048 -0.047000 48.112765 71.214174 
23.015017 101.559085 -0.048000 48.105891 64.282229 
14.800395 106.711269 -0.049000 48.077197 51.029170 
24.563304 93.926804 -0.047000 48.121259 67.751888 
30.281354 106.132247 -0.047000 48.114380 37.213727 
28.340669 103.111842 -0.047000 48.122067 59.516804 
34.817051 89.808691 -0.047000 48.124035 29.743239 
17.223189 104.726571 -0.048000 48.112004 64.120044 
26.403329 107.769054 -0.047000 48.120484 55.799410 
20.328329 95.765575 -0.048000 48.094118 65.730724 
25.419590 104.637760 -0.047000 48.118721 48.575173 
22.731424 102.501689 -0.047000 48.122958 53.653848 
26.451190 96.361044 -0.046000 48.125733 47.272125 
27.884318 99.818708 -0.047000 48.111627 68.498440 
17.789671 87.661290 -0.048000 48.080393 60.480971 
36.244540 93.850493 -0.048000 48.092972 55.088220 
24.205284 102.235821 -0.047000 48.118812 24.908424 
32.483863 97.451736 -0.047000 48.116065 66.401775 
19.020133 110.348221 -0.047000 48.117229 45.186591 
22.969901 102.474141 -0.048000 48.106302 78.207314 
24.769842 98.161415 -0.047000 48.119633 28.660850 
17.291256 95.053869 -0.048000 48.105286 80.537641 
30.055246 102.467672 -0.047000 48.120297 17.968152 
16.044934 101.452724 -0.047000 48.114932 8.865171 
32.437292 98.896793 -0.047000 48.112537 39.955760 
21.172966 102.813434 -0.047000 48.121032 61.634953 
24.664600 99.652656 -0.047000 48.115845 62.126682 
16.922104 100.120184 -0.046000 48.125758 44.892006 
36.743857 109.527526 -0.048000 48.106210 56.927723 
22.385748 107.672427 -0.047000 48.115575 47.438410 
18.557695 105.049720 -0.047000 48.115598 74.009503 
32.228768 89.892542 -0.048000 48.101561 60.368553 
23.890285 107.694783 -0.047000 48.111646 38.085331 
26.983197 97.301362 -0.047000 48.117713 38.785177 
16.026250 103.381124 -0.047000 48.120091 76.983041 
24.244596 110.478925 -0.047000 48.113995 71.654895 
18.835375 104.165694 -0.047000 48.115997 63.165531 
34.548761 102.302816 -0.047000 48.113657 60.273922 
22.025974 96.734446 -0.048000 48.107682 78.829871 
37.800690 110.077566 -0.047000 48.120220 59.346302 
43.443842 103.757785 -0.047000 48.119343 54.951296 
24.114830 110.271352 -0.047000 48.121099 47.927154 
19.418247 102.676965 -0.047000 48.119861 17.046426 
11.169121 109.514221 -0.048000 48.107566 68.518105 
29.270420 96.130317 -0.048000 48.101409 29.228912 
19.135993 103.543164 -0.047000 48.120794 50.007029 
33.233885 106.172278 -0.047000 48.117803 49.800849 
22.484506 105.050160 -0.047000 48.115357 41.995456 
14.913335 97.848168 -0.048000 48.096117 66.279400 
21.184664 94.487780 -0.048000 48.099717 61.720705 
17.759662 114.038703 -0.047000 48.113972 61.472023 
37.015302 97.160282 -0.047000 48.117464 57.370157 
30.278759 106.446068 -0.047000 48.118426 40.133591 
19.884922 108.026155 -0.047000 48.119587 56.639530 
18.522998 95.376235 -0.048000 48.102354 53.211776 
22.919593 90.610868 -0.048000 48.103918 49.385695 
20.849246 107.401689 -0.047000 48.121481 54.919361 
15.863383 104.921125 -0.047000 48.112783 36.185167 
27.495475 97.975831 -0.048000 48.110640 84.410814 
21.773141 87.645259 -0.047000 48.122921 57.724412 
30.506350 99.907463 -0.047000 48.115654 58.747803 
22.186641 105.767690 -0.047000 48.118951 53.075740 
26.938210 103.151794 -0.048000 48.105696 66.464442 
30.285851 101.792381 -0.047000 48.112642 53.290891 
38.957254 101.846886 -0.047000 48.115674 11.271087 
27.768538 109.020631 -0.047000 48.116266 20.775911 
24.390815 98.170061 -0.048000 48.111530 59.585638 
17.271789 100.896734 -0.048000 48.109038 47.610005 
19.074953 90.831297 -0.048000 48.098846 70.863042 
22.647818 96.105096 -0.048000 48.099012 61.684666 
25.719790 94.806290 -0.048000 48.096191 62.801520 
25.440102 91.108383 -0.048000 48.107097 39.180579 
27.014534 107.206172 -0.048000 48.108937 54.115304 
34.717652 99.044350 -0.048000 48.104920 71.396034 
24.717178 99.768232 -0.048000 48.105887 39.646505 
26.470393 101.430722 -0.048000 48.102908 70.117314 
20.428070 95.278740 -0.047000 48.121841 62.889320 
20.246969 101.821344 -0.048000 48.110024 39.019461 
26.961213 98.106308 -0.047000 48.118904 76.257620 
22.195151 100.187395 -0.047000 48.120329 32.030206 
13.302257 107.355608 -0.047000 48.113159 70.645500 
26.466486 95.539782 -0.047000 48.119519 59.013625 
16.960928 109.360538 -0.047000 48.120771 44.385619 
30.465382 96.388166 -0.048000 48.109988 27.648866 
27.460899 100.575630 -0.047000 48.118265 41.058082 
17.990454 92.584960 -0.048000 48.108052 66.119808 
25.470648 107.424066 -0.047000 48.115523 35.699487 
27.037164 95.768269 -0.047000 48.116766 62.964309 
21.515441 89.186421 -0.047000 48.122570 49.461961 
24.074188 95.539093 -0.047000 48.121088 50.138856 
29.424980 97.693167 -0.048000 48.099570 78.273551 
15.820593 113.731578 -0.047000 48.113493 82.268926 
17.366409 96.770570 -0.047000 48.121501 58.368793 
25.485541 97.959154 -0.047000 48.120030 33.464932 
28.579206 94.088800 -0.048000 48.107186 64.364246 
18.009625 107.324178 -0.047000 48.114747 62.127054 
17.251851 103.662545 -0.048000 48.104534 35.804311 
25.119034 86.611624 -0.048000 48.092117 45.094154 
